inode,State,uid,ProcessInfo,LocalAddr,LocalPort,RemoteAddr,RemotePort
" 784005",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[784005]"",
 ""Type"": ""socket"",
 ""Inode"": ""784005""
}",192.168.52.138,57390,34.149.137.56,443
" 785744",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[785744]"",
 ""Type"": ""socket"",
 ""Inode"": ""785744""
}",192.168.52.138,35454,142.250.207.194,443
" 789440",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[789440]"",
 ""Type"": ""socket"",
 ""Inode"": ""789440""
}",192.168.52.138,54024,172.67.72.108,443
" 784161",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[784161]"",
 ""Type"": ""socket"",
 ""Inode"": ""784161""
}",192.168.52.138,46718,34.4.35.11,443
" 777400",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[777400]"",
 ""Type"": ""socket"",
 ""Inode"": ""777400""
}",192.168.52.138,36576,151.101.66.132,443
" 783072",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[783072]"",
 ""Type"": ""socket"",
 ""Inode"": ""783072""
}",192.168.52.138,42368,207.65.33.76,443
" 780601",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[780601]"",
 ""Type"": ""socket"",
 ""Inode"": ""780601""
}",192.168.52.138,45648,150.171.22.12,443
" 790704",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[790704]"",
 ""Type"": ""socket"",
 ""Inode"": ""790704""
}",192.168.52.138,53828,131.153.206.101,443
" 789536",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[789536]"",
 ""Type"": ""socket"",
 ""Inode"": ""789536""
}",192.168.52.138,49940,52.50.138.114,443
" 779672",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[779672]"",
 ""Type"": ""socket"",
 ""Inode"": ""779672""
}",192.168.52.138,39954,103.180.115.15,443
" 777651",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[777651]"",
 ""Type"": ""socket"",
 ""Inode"": ""777651""
}",192.168.52.138,50170,34.216.112.236,443
" 791933",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[791933]"",
 ""Type"": ""socket"",
 ""Inode"": ""791933""
}",192.168.52.138,36786,35.71.131.137,443
" 782513",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[782513]"",
 ""Type"": ""socket"",
 ""Inode"": ""782513""
}",192.168.52.138,42992,13.227.249.41,443
" 791605",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[791605]"",
 ""Type"": ""socket"",
 ""Inode"": ""791605""
}",192.168.52.138,35914,35.213.17.49,443
" 791669",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[791669]"",
 ""Type"": ""socket"",
 ""Inode"": ""791669""
}",192.168.52.138,38470,172.66.171.198,443
" 791741",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[791741]"",
 ""Type"": ""socket"",
 ""Inode"": ""791741""
}",192.168.52.138,38484,172.66.171.198,443
" 791693",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[791693]"",
 ""Type"": ""socket"",
 ""Inode"": ""791693""
}",192.168.52.138,60406,35.213.64.108,443
" 775706",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[775706]"",
 ""Type"": ""socket"",
 ""Inode"": ""775706""
}",192.168.52.138,40514,151.101.129.91,443
" 785224",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[785224]"",
 ""Type"": ""socket"",
 ""Inode"": ""785224""
}",192.168.52.138,37558,37.157.6.254,443
" 780775",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[780775]"",
 ""Type"": ""socket"",
 ""Inode"": ""780775""
}",192.168.52.138,34612,18.172.65.161,443
" 780776",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[780776]"",
 ""Type"": ""socket"",
 ""Inode"": ""780776""
}",192.168.52.138,34616,18.172.65.161,443
" 792146",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[792146]"",
 ""Type"": ""socket"",
 ""Inode"": ""792146""
}",192.168.52.138,51522,104.18.5.205,443
" 763048",Established," 0","{
 ""Pid"": 67858,
 ""Command"": ""velociraptor\n"",
 ""CommandLine"": ""./velociraptor\u0000--config\u0000/tmp/gui_datastore/server.config.yaml\u0000gui\u0000"",
 ""Filename"": ""socket:[763048]"",
 ""Type"": ""socket"",
 ""Inode"": ""763048""
}",127.0.0.1,8000,127.0.0.1,46742
" 782285",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[782285]"",
 ""Type"": ""socket"",
 ""Inode"": ""782285""
}",192.168.52.138,42468,34.142.217.223,443
" 784454",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[784454]"",
 ""Type"": ""socket"",
 ""Inode"": ""784454""
}",192.168.52.138,51796,104.18.5.205,443
" 780599",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[780599]"",
 ""Type"": ""socket"",
 ""Inode"": ""780599""
}",192.168.52.138,36140,35.190.91.160,443
